StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q7_29,Q7_30,Q7_31,Q7_32,Q7_33,Q7_34,Q7_35,Q7_36,Q7_37,Q7_38,Q7_39,Q7_40,Q7_41,Q7_42,Q7_43,Q7_44,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,"Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz and Emma came up with an idea for a new business.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Below are 2 descending ranking options from most to least probable.
Which one DON'T you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma and Liz have been best friends for years. How do you think they met?

Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_17""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_19""}","{""ImportId"":""QID11_20""}","{""ImportId"":""QID11_21""}","{""ImportId"":""QID11_22""}","{""ImportId"":""QID11_23""}","{""ImportId"":""QID11_24""}","{""ImportId"":""QID11_25""}","{""ImportId"":""QID11_26""}","{""ImportId"":""QID11_27""}","{""ImportId"":""QID11_28""}","{""ImportId"":""QID11_29""}","{""ImportId"":""QID11_30""}","{""ImportId"":""QID11_31""}","{""ImportId"":""QID11_32""}","{""ImportId"":""QID11_33""}","{""ImportId"":""QID11_34""}","{""ImportId"":""QID11_35""}","{""ImportId"":""QID11_36""}","{""ImportId"":""QID11_37""}","{""ImportId"":""QID11_38""}","{""ImportId"":""QID11_39""}","{""ImportId"":""QID11_40""}","{""ImportId"":""QID11_41""}","{""ImportId"":""QID11_42""}","{""ImportId"":""QID11_43""}","{""ImportId"":""QID11_44""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_FIRST_CLICK""}","{""ImportId"":""QID20_LAST_CLICK""}","{""ImportId"":""QID20_PAGE_SUBMIT""}","{""ImportId"":""QID20_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""survey_code""}"
13/01/2019 4:56,13/01/2019 4:59,0,98.251.169.14,100,195,1,13/01/2019 4:59,R_3xWW978uu5OcyC5,,,,,34.94410706,-89.85440063,anonymous,EN,1,1,34,3,1,1,5,1,1,5,5,1,5,1,1,1,5,1,1,1,5,1,1,1,5,5,1,5,1,1,1,5,1,1,5,5,5,5,5,1,1,5,1,1,5,5,1,1,1.373,54.315,54.607,50,2,29.079,29.079,30.543,1,2,5.481,5.481,7.117,1,5,2,15.635,15.635,16.612,1,1,18.353,20.874,22.882,2,2,8.249,8.249,9.053,1,2,14.492,14.492,15.607,1,1,8.438,10.39,11.018,2,12341846
13/01/2019 4:56,13/01/2019 4:59,0,38.132.116.197,100,227,1,13/01/2019 4:59,R_1C8RXp9rRKLmBA1,,,,,40.74839783,-73.99669647,anonymous,EN,1,1,32,5,4,4,3,4,3,5,3,4,4,5,3,5,5,4,4,4,5,4,4,5,5,4,3,5,4,3,5,5,4,4,4,3,4,4,4,3,5,5,4,5,4,4,2,3,20.165,20.165,54.117,1,2,7.017,43.555,51.809,6,2,8,8,9.284,1,5,2,4.642,11.45,26.127,5,1,8.564,21.827,22.775,6,2,2.701,3.692,3.956,2,1,1.064,1.064,1.899,1,2,6.244,6.631,7.454,2,15835251
13/01/2019 4:57,13/01/2019 5:00,0,138.75.69.205,100,134,1,13/01/2019 5:00,R_zdLxadXhnJfU7eh,,,,,1.293106079,103.8558044,anonymous,EN,1,2,33,5,2,2,3,1,4,2,2,4,4,3,4,4,3,1,5,5,2,1,4,1,5,1,5,3,2,3,4,3,1,3,2,1,2,3,1,1,5,3,3,5,4,4,5,2,0,0,4.641,0,2,1.826,2.93,4.046,3,2,6.312,9.32,10.107,3,3,2,4.986,14.331,14.633,4,2,4.269,6.422,12.608,2,2,0,0,2.466,0,1,5.44,5.44,6.228,1,2,2.072,7.528,8.179,3,98504064
13/01/2019 4:57,13/01/2019 5:01,0,174.72.236.106,100,224,1,13/01/2019 5:01,R_tWfHcwZdaXGydwZ,,,,,36.12600708,-115.145401,anonymous,EN,1,2,27,3,4,3,2,3,3,3,4,3,3,2,3,4,3,3,3,2,3,4,2,4,4,4,3,3,2,3,3,2,4,3,2,3,4,3,2,3,3,2,3,4,3,2,1,3,3.886,57.36,60.507,49,1,7.122,30.748,37.962,2,2,13.31,14.83,15.512,4,5,1,16.789,16.789,25.99,1,2,7.998,14.892,16.26,5,2,5.257,5.257,6.272,1,1,12.83,15.498,16.411,5,2,2.562,12.465,13.027,2,94709063
13/01/2019 4:56,13/01/2019 5:01,0,86.156.74.122,100,291,1,13/01/2019 5:01,R_3PmX5mAgndTnP0a,,,,,52.24630737,0.711105347,anonymous,EN,1,1,31,4,2,3,4,3,3,4,4,2,3,5,2,2,4,2,5,3,4,4,3,4,4,4,3,4,3,3,2,4,3,4,4,5,4,4,5,3,2,3,4,4,2,4,4,5,8.174,126.603,128.067,125,2,8.101,21.49,22.027,6,2,6.802,21.4,22.298,5,3,1,4.693,13.401,14.229,7,2,6.879,15.701,16.329,8,2,7.203,10.862,11.762,5,1,10.254,11.148,12.773,3,2,3.809,6.677,7.475,6,15193134
13/01/2019 4:57,13/01/2019 5:01,0,76.25.160.204,100,264,1,13/01/2019 5:01,R_2WvxPUqltEY5M3v,,,,,38.83880615,-104.8144989,anonymous,EN,1,1,40,2,1,1,5,1,5,5,4,1,5,2,4,1,5,2,2,5,5,1,1,1,5,5,1,5,5,1,2,5,1,2,4,5,5,5,2,2,2,4,1,1,3,5,1,1,1.983,108.358,111.354,73,2,5.302,33.032,34.957,4,2,10.253,11.15,12.499,2,3,1,14.663,14.663,20.458,1,1,9.789,21.821,24.818,3,2,6.256,6.256,8.873,1,1,13.63,13.63,15.099,1,2,7.103,7.103,8.405,1,54009537
13/01/2019 4:56,13/01/2019 5:03,0,173.187.166.98,100,399,1,13/01/2019 5:03,R_2dv8BOxovyihZ5G,,,,,35.07189941,-92.18319702,anonymous,EN,1,1,61,3,4,1,5,1,4,2,5,3,4,4,3,1,5,1,4,3,4,1,1,4,3,4,2,5,4,4,1,4,1,5,1,4,4,4,3,4,1,4,1,4,1,4,1,3,4.461,130.103,131.411,45,1,47.767,47.767,48.896,1,2,42.492,42.492,43.332,1,3,1,37.273,37.273,38.531,1,1,20.623,20.623,21.925,1,2,13.805,13.805,14.818,1,1,21.715,21.715,23.042,1,2,13.883,13.883,14.916,1,71177525
13/01/2019 4:59,13/01/2019 5:03,0,98.251.169.14,100,197,1,13/01/2019 5:03,R_Dw5mQxrcmprCzsJ,,,,,34.94410706,-89.85440063,anonymous,EN,1,1,34,3,1,1,5,1,1,5,5,1,5,1,1,1,5,1,1,1,5,1,1,1,5,5,1,5,1,1,1,5,1,1,5,5,5,5,5,1,1,5,1,1,5,5,1,1,1.216,51.079,51.813,46,2,7.185,7.185,8.576,1,2,3.843,3.843,4.591,1,5,2,8.269,8.269,8.579,1,1,2.437,2.437,2.753,1,2,1.634,1.634,2.837,1,2,2.148,3.228,3.512,2,2,82.82,84.292,84.697,2,88479174
