StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q7_29,Q7_30,Q7_31,Q7_32,Q7_33,Q7_34,Q7_35,Q7_36,Q7_37,Q7_38,Q7_39,Q7_40,Q7_41,Q7_42,Q7_43,Q7_44,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,"Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz and Emma came up with an idea for a new business.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Below are 2 descending ranking options from most to least probable.
Which one DON'T you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma and Liz have been best friends for years. How do you think they met?

Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_17""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_19""}","{""ImportId"":""QID11_20""}","{""ImportId"":""QID11_21""}","{""ImportId"":""QID11_22""}","{""ImportId"":""QID11_23""}","{""ImportId"":""QID11_24""}","{""ImportId"":""QID11_25""}","{""ImportId"":""QID11_26""}","{""ImportId"":""QID11_27""}","{""ImportId"":""QID11_28""}","{""ImportId"":""QID11_29""}","{""ImportId"":""QID11_30""}","{""ImportId"":""QID11_31""}","{""ImportId"":""QID11_32""}","{""ImportId"":""QID11_33""}","{""ImportId"":""QID11_34""}","{""ImportId"":""QID11_35""}","{""ImportId"":""QID11_36""}","{""ImportId"":""QID11_37""}","{""ImportId"":""QID11_38""}","{""ImportId"":""QID11_39""}","{""ImportId"":""QID11_40""}","{""ImportId"":""QID11_41""}","{""ImportId"":""QID11_42""}","{""ImportId"":""QID11_43""}","{""ImportId"":""QID11_44""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_FIRST_CLICK""}","{""ImportId"":""QID20_LAST_CLICK""}","{""ImportId"":""QID20_PAGE_SUBMIT""}","{""ImportId"":""QID20_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""survey_code""}"
2019-01-13 04:56:17,2019-01-13 04:59:07,0,186.71.89.61,100,170,1,2019-01-13 04:59:08,R_1jBrJ56pp5yw3T8,,,,,-0.216705322265625,-78.5,anonymous,EN,1,1,26,5,5,4,4,2,4,2,2,2,3,5,4,1,3,1,5,5,4,2,2,5,4,5,1,3,5,2,1,3,4,4,1,4,4,1,4,5,1,4,2,5,1,1,1,5,1.77,48.908,50.559,48,1,21.523,21.523,24.475,1,2,15.034,15.034,16.555,1,4,1,16.976,17.479,18.981,2,1,9.053,9.053,10.788,1,1,4.032,4.032,5.605,1,1,3.228,3.228,4.714,1,1,3.686,3.686,5.695,1,52460751
2019-01-13 04:56:07,2019-01-13 05:00:09,0,98.230.228.35,100,241,1,2019-01-13 05:00:09,R_3lRfufzDO1FvRCd,,,,,32.7104949951171875,-80.2743988037109375,anonymous,EN,1,1,34,6,2,4,3,2,2,4,4,2,3,2,2,2,3,4,2,2,3,2,4,2,4,2,2,3,2,2,4,2,5,4,4,4,2,3,4,2,2,3,5,2,2,3,4,4,2.274,105.64,107.104,45,1,7.696,25.334,28.151,2,2,14.359,14.359,16.249,1,5,2,12.565,12.565,15.4,1,1,11.852,11.852,15.412,1,2,7.841,7.841,10,1,2,7.756,7.756,9.346,1,2,8.738,8.738,11.059,1,94619530
2019-01-13 04:56:05,2019-01-13 05:00:54,0,24.59.191.225,100,288,1,2019-01-13 05:00:54,R_4MCPpkE7TAfvcTD,,,,,43.0861968994140625,-75.6508026123046875,anonymous,EN,1,1,52,3,2,2,4,1,4,4,5,1,4,4,3,1,5,1,4,3,4,1,1,1,4,3,1,5,4,3,1,5,1,4,4,5,4,4,3,3,1,5,2,4,2,4,1,3,3.585,108.583,112.093,45,2,44.449,44.449,45.207,1,2,13.964,13.964,15.129,1,3,2,26.454,26.454,27.407,1,2,13.206,13.206,16.219,1,2,8.532,8.532,12.449,1,2,8.175,8.175,9.196,1,2,8.59,8.59,10.433,1,81481346
2019-01-13 04:56:21,2019-01-13 05:01:11,0,172.58.44.61,100,289,1,2019-01-13 05:01:11,R_1rxnh85RFfr2Pjz,,,,,47.3202972412109375,-122.31169891357421875,anonymous,EN,1,2,35,3,1,5,5,5,4,5,3,1,3,3,3,1,5,3,3,2,1,1,1,2,5,1,1,5,3,3,5,5,1,1,5,2,5,5,5,1,4,5,1,3,5,3,1,1,0,0,69.166,0,2,12.689,12.689,17.14,1,2,3.023,3.023,9.247,1,6,2,8.104,24.159,27.28,2,2,4.767,38.282,43.485,4,1,2.752,11.496,14.553,4,2,3.518,9.455,13.74,3,2,0.847,0.847,6.992,1,39466378
2019-01-13 04:56:04,2019-01-13 05:01:17,0,138.75.69.205,100,312,1,2019-01-13 05:01:18,R_3M9A8vqmAkQzN7B,,,,,1.2931060791015625,103.855804443359375,anonymous,EN,1,2,33,5,4,4,2,4,5,2,3,2,3,4,3,5,1,2,5,4,1,4,4,1,5,4,5,1,1,1,1,5,2,5,1,4,2,4,2,5,2,3,3,4,1,2,3,3,0,0,8.981,0,2,2.774,3.333,3.806,2,2,1.461,1.932,4.936,2,3,1,0,0,1.686,0,2,0,0,2.606,0,2,0,0,2.339,0,2,0,0,2.577,0,2,0,0,2.636,0,76218099
2019-01-13 04:56:32,2019-01-13 05:02:50,0,96.252.102.177,100,377,1,2019-01-13 05:02:50,R_1LSBnLu2d5CgIOV,,,,,42.6808929443359375,-70.84940338134765625,anonymous,EN,1,2,37,5,5,4,3,3,3,2,4,4,2,4,4,1,4,4,3,3,4,2,4,4,2,4,4,2,4,2,3,3,4,4,2,4,3,4,3,5,3,3,4,4,2,4,2,4,4.208,130.116,131.421,46,2,19.45,58.139,59.36,4,1,11.338,11.338,14.2,1,5,2,39.651,45.18,46.086,3,2,14.043,24.729,25.985,4,2,9.611,11.918,12.905,3,1,6.963,10.133,11.476,2,1,8.598,12.953,13.507,4,62833927
2019-01-13 04:56:17,2019-01-13 05:02:55,0,129.21.11.235,100,397,1,2019-01-13 05:02:55,R_BL0jJWo2U3EOo1P,,,,,43.083404541015625,-77.6343994140625,anonymous,EN,1,1,57,5,3,3,5,2,4,4,3,1,5,4,2,2,5,2,4,3,3,1,1,4,3,3,1,5,4,5,4,4,3,4,4,3,4,5,2,2,2,4,1,4,2,4,2,4,8.722,123.989,125.652,48,2,79.739,79.739,81.331,1,2,18.827,18.827,20.633,1,5,2,38.335,38.335,40,1,2,20.506,20.506,22.164,1,2,12.576,12.576,14.238,1,2,22.6,22.6,24.558,1,2,10.525,10.525,14.885,1,42538982
2019-01-13 04:56:25,2019-01-13 05:03:40,0,24.243.244.130,100,434,1,2019-01-13 05:03:40,R_3fl1zVelDIr5rwG,,,,,31.2028961181640625,-97.9300994873046875,anonymous,EN,1,1,61,2,2,1,5,1,3,4,4,1,5,3,2,1,5,1,1,2,5,1,1,2,4,4,1,5,1,1,1,5,1,3,3,5,5,5,4,2,1,5,1,2,3,4,2,1,5.642,126.362,135.001,46,2,38.082,38.082,40.151,1,2,32.213,32.213,34.872,1,3,2,37.58,37.58,40.272,1,2,30.088,30.088,32.543,1,2,31.04,31.04,33.006,1,1,34.534,34.534,36.238,1,2,22.549,22.549,23.346,1,72482839
