StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q7_29,Q7_30,Q7_31,Q7_32,Q7_33,Q7_34,Q7_35,Q7_36,Q7_37,Q7_38,Q7_39,Q7_40,Q7_41,Q7_42,Q7_43,Q7_44,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,"Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz and Emma came up with an idea for a new business.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Below are 2 descending ranking options from most to least probable.
Which one DON'T you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma and Liz have been best friends for years. How do you think they met?

Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_17""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_19""}","{""ImportId"":""QID11_20""}","{""ImportId"":""QID11_21""}","{""ImportId"":""QID11_22""}","{""ImportId"":""QID11_23""}","{""ImportId"":""QID11_24""}","{""ImportId"":""QID11_25""}","{""ImportId"":""QID11_26""}","{""ImportId"":""QID11_27""}","{""ImportId"":""QID11_28""}","{""ImportId"":""QID11_29""}","{""ImportId"":""QID11_30""}","{""ImportId"":""QID11_31""}","{""ImportId"":""QID11_32""}","{""ImportId"":""QID11_33""}","{""ImportId"":""QID11_34""}","{""ImportId"":""QID11_35""}","{""ImportId"":""QID11_36""}","{""ImportId"":""QID11_37""}","{""ImportId"":""QID11_38""}","{""ImportId"":""QID11_39""}","{""ImportId"":""QID11_40""}","{""ImportId"":""QID11_41""}","{""ImportId"":""QID11_42""}","{""ImportId"":""QID11_43""}","{""ImportId"":""QID11_44""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_FIRST_CLICK""}","{""ImportId"":""QID20_LAST_CLICK""}","{""ImportId"":""QID20_PAGE_SUBMIT""}","{""ImportId"":""QID20_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""survey_code""}"
2019-01-13 04:57:49,2019-01-13 05:03:50,0,76.188.53.196,100,361,1,2019-01-13 05:03:51,R_3G95JXazDhKhbJk,,,,,41.8679046630859375,-80.79470062255859375,anonymous,EN,1,2,37,2,2,4,3,5,3,3,2,3,2,3,1,2,3,3,2,2,2,4,3,4,4,1,4,2,3,3,3,2,4,3,5,2,3,3,3,1,4,2,3,2,2,2,4,3,6.474,103.72,104.803,47,1,33.419,33.419,53.661,1,2,33.254,33.254,38.415,1,3,1,20.168,20.168,29.941,1,2,20.647,23.305,28.363,2,1,16.574,16.574,19.843,1,2,16.804,17.355,18.307,2,1,10.833,10.833,14.744,1,95358259
2019-01-13 04:58:31,2019-01-13 05:04:21,0,24.98.124.9,100,349,1,2019-01-13 05:04:21,R_3qsafai4yXC4pYw,,,,,34.2321014404296875,-84.15799713134765625,anonymous,EN,1,1,52,5,4,2,5,2,4,3,4,1,5,4,3,2,5,3,4,3,4,1,3,3,2,5,1,5,4,4,2,5,2,5,2,4,5,5,1,4,2,5,1,4,1,4,1,5,3.564,94.04,94.701,55,2,42.241,42.351,45.596,2,1,36.005,36.954,39.535,2,3,2,9.239,32.449,34.44,2,1,19.834,19.834,22.18,1,1,32.425,33.516,35.641,2,1,4.222,15.227,18.58,2,1,1.563,20.94,22.162,2,74238006
2019-01-13 04:57:47,2019-01-13 05:04:57,0,66.188.148.246,100,429,1,2019-01-13 05:04:57,R_TcOpAmpfrt5wTaF,,,,,45.3135986328125,-93.58139801025390625,anonymous,EN,1,2,45,5,4,4,4,3,5,4,5,3,2,5,3,1,4,4,5,3,2,3,4,3,4,3,3,4,4,3,4,4,4,4,3,5,4,3,2,4,2,4,4,3,1,4,3,3,4.426,120.134,121.574,46,1,72.026,72.026,83.441,1,2,30.576,30.576,31.303,1,3,2,24.357,24.357,27.459,1,1,2.951,19.332,22.638,7,2,3.793,16.552,18.055,2,2,41.893,41.893,42.89,1,2,19.917,19.917,21.511,1,31982987
2019-01-13 04:58:19,2019-01-13 05:05:00,0,97.118.128.193,100,400,1,2019-01-13 05:05:00,R_3n0BloI5eVyy7uZ,,,,,39.6255035400390625,-104.7873992919921875,anonymous,EN,1,2,32,6,1,4,5,2,2,5,5,1,4,4,3,1,5,4,4,2,5,1,2,2,5,4,2,2,3,1,1,5,2,2,5,5,5,4,2,1,1,4,3,4,4,4,3,2,3.811,124.672,125.954,49,1,1.47,38.913,41.341,2,2,1.673,33.742,36.846,3,3,2,1.647,34.877,36.051,2,2,1.199,31.267,32.378,2,2,1.184,23.912,25.158,2,1,1.563,17.808,20.489,2,1,1.122,25.46,29.04,2,32455490
2019-01-13 04:58:20,2019-01-13 05:05:12,0,97.113.30.211,100,412,1,2019-01-13 05:05:13,R_afPN3GKCI91UWGt,,,,,47.6114044189453125,-122.33050537109375,anonymous,EN,1,1,27,5,3,4,4,4,5,3,4,4,3,4,2,1,4,5,4,3,4,4,5,4,3,4,4,3,4,2,3,5,4,4,3,5,4,3,2,3,4,4,5,4,2,4,4,4,4.028,109.881,110.797,51,1,21.156,55.216,59.334,3,2,44.355,45.845,49.013,2,3,2,2.599,22.045,29.56,3,1,6.178,37.279,38.526,3,1,4.392,21.826,26.221,2,1,9.306,9.306,11.931,1,2,2.284,15.979,22.349,3,72968842
2019-01-13 04:59:19,2019-01-13 05:05:18,0,99.150.227.99,100,358,1,2019-01-13 05:05:18,R_12L0DKcl7acMBpn,,,,,35.766693115234375,-78.600799560546875,anonymous,EN,1,2,41,5,5,2,5,1,2,1,4,2,4,4,4,2,5,4,2,5,2,1,2,4,1,4,2,5,1,5,1,4,1,3,1,5,5,4,5,5,2,5,2,4,3,4,1,1,0.311,58.194,58.883,131,1,14.04,38.381,38.977,6,1,93.375,93.754,94.63,3,5,1,1.136,33.185,33.466,8,1,1.07,21.585,23.546,6,2,1.681,22.829,25.742,7,2,12.883,13.323,13.755,3,2,0.968,19.995,20.951,4,62004040
2019-01-13 05:00:54,2019-01-13 05:05:19,0,97.116.23.55,100,265,1,2019-01-13 05:05:19,R_12QgGyMY1PjctBN,,,,,44.9550018310546875,-93.38289642333984375,anonymous,EN,1,1,36,3,4,1,5,1,5,4,5,4,5,5,2,1,4,1,5,4,5,5,2,5,4,5,1,5,5,5,2,5,4,5,2,5,5,5,2,4,1,5,1,5,1,5,1,5,40.875,49.246,80.539,2,1,28.395,30.33,31.673,2,1,12.306,12.94,13.938,2,3,1,22.267,22.267,24.28,1,1,26.124,26.124,27.744,1,1,12.621,12.621,13.983,1,2,19.348,21.843,23.766,2,1,11.167,11.899,13.513,2,47649040
2019-01-13 04:59:40,2019-01-13 05:05:34,0,73.130.183.198,100,354,1,2019-01-13 05:05:34,R_30iYjcZwBR0zHLg,,,,,40.5670928955078125,-76.32689666748046875,anonymous,EN,1,1,67,2,1,1,4,2,2,5,5,2,5,2,4,1,5,2,2,3,5,2,5,1,5,5,1,5,2,2,1,5,1,1,5,5,5,5,5,1,1,5,3,1,4,5,2,2,11.567,96.07,97.822,44,1,39.716,39.716,41.596,1,2,29.294,29.294,30.885,1,3,1,44.596,44.596,46.156,1,1,28.265,28.265,30.009,1,2,27.697,27.697,28.704,1,1,15.545,15.545,17.321,1,1,17.261,17.261,19.174,1,25819149
