StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q7_29,Q7_30,Q7_31,Q7_32,Q7_33,Q7_34,Q7_35,Q7_36,Q7_37,Q7_38,Q7_39,Q7_40,Q7_41,Q7_42,Q7_43,Q7_44,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,"Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz and Emma came up with an idea for a new business.
Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Below are 2 descending ranking options from most to least probable.
Which one DON'T you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma and Liz have been best friends for years. How do you think they met?

Below are 2 descending ranking options from most to least probable.
Which one do you agree with?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_17""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_19""}","{""ImportId"":""QID11_20""}","{""ImportId"":""QID11_21""}","{""ImportId"":""QID11_22""}","{""ImportId"":""QID11_23""}","{""ImportId"":""QID11_24""}","{""ImportId"":""QID11_25""}","{""ImportId"":""QID11_26""}","{""ImportId"":""QID11_27""}","{""ImportId"":""QID11_28""}","{""ImportId"":""QID11_29""}","{""ImportId"":""QID11_30""}","{""ImportId"":""QID11_31""}","{""ImportId"":""QID11_32""}","{""ImportId"":""QID11_33""}","{""ImportId"":""QID11_34""}","{""ImportId"":""QID11_35""}","{""ImportId"":""QID11_36""}","{""ImportId"":""QID11_37""}","{""ImportId"":""QID11_38""}","{""ImportId"":""QID11_39""}","{""ImportId"":""QID11_40""}","{""ImportId"":""QID11_41""}","{""ImportId"":""QID11_42""}","{""ImportId"":""QID11_43""}","{""ImportId"":""QID11_44""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_FIRST_CLICK""}","{""ImportId"":""QID20_LAST_CLICK""}","{""ImportId"":""QID20_PAGE_SUBMIT""}","{""ImportId"":""QID20_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""survey_code""}"
2019-01-13 04:56:55,2019-01-13 05:00:13,0,68.102.105.18,100,198,1,2019-01-13 05:00:14,R_3oRdkWrV4wMorrq,,,,,37.667999267578125,-97.359100341796875,anonymous,EN,1,2,31,4,2,1,5,4,1,4,3,4,5,2,1,1,4,1,1,2,2,1,1,1,4,1,1,1,1,2,4,5,3,1,1,2,5,4,4,1,3,4,1,1,4,2,3,1,3.635,73.407,74.056,51,1,20.7,20.7,23.752,1,1,8.111,9.887,10.184,2,5,1,18.632,18.632,23.357,1,2,6.707,6.707,9.48,1,2,10.644,10.644,12.92,1,1,8.036,9.053,9.312,2,1,6.913,7.617,8.692,2,48690082
2019-01-13 04:56:46,2019-01-13 05:01:24,0,98.195.35.8,100,277,1,2019-01-13 05:01:24,R_1NnctX0F3TgWoKe,,,,,29.039306640625,-95.44010162353515625,anonymous,EN,1,1,61,3,3,1,5,2,4,2,5,2,4,3,2,1,5,2,3,3,5,3,4,3,4,5,2,4,3,3,1,4,1,3,4,5,5,4,4,3,1,4,3,3,2,5,2,3,5.164,94.011,95.281,46,2,35.086,36.389,36.746,2,2,9.917,9.917,11.378,1,6,2,28.59,28.59,29.89,1,1,27.161,27.161,32.127,1,2,12.419,12.419,13.665,1,2,17.386,17.386,18.163,1,1,8.309,8.309,9.757,1,82899012
2019-01-13 04:59:46,2019-01-13 05:01:25,0,50.203.21.10,100,98,1,2019-01-13 05:01:25,R_2YXOwLo2sNzqAzH,,,,,37.39239501953125,-121.9622955322265625,anonymous,EN,1,2,31,3,5,3,2,5,4,4,5,2,1,4,2,3,1,4,5,3,5,5,3,2,4,5,3,3,5,2,4,1,2,1,1,4,5,2,5,3,4,4,2,1,3,2,3,5,0.56,60.758,61.98,49,1,1.452,1.452,3.208,1,2,5.972,6.508,7.192,2,4,1,0.786,1.935,2.571,3,2,0.381,0.381,0.947,1,2,0.42,0.42,0.922,1,1,0.452,0.452,1.177,1,2,0.307,0.307,0.825,1,99702173
2019-01-13 04:56:34,2019-01-13 05:01:44,0,36.78.221.53,100,310,1,2019-01-13 05:01:44,R_3JFbHfTio7fsZ72,,,,,-6.99310302734375,110.420806884765625,anonymous,EN,1,2,33,4,1,2,4,2,4,4,4,4,4,4,4,1,3,4,4,4,4,1,1,4,4,2,4,5,4,4,2,4,2,4,2,4,4,4,3,4,2,4,1,4,1,3,2,4,3.805,81.053,81.665,51,2,48.738,48.738,49.657,1,1,31.687,31.687,32.934,1,4,1,27.146,27.146,27.83,1,1,17.214,17.214,21.407,1,2,16.699,25.3,26.781,2,1,13.237,13.237,14.764,1,1,18.991,18.991,22.487,1,90526749
2019-01-13 04:56:54,2019-01-13 05:02:10,0,72.198.74.135,100,315,1,2019-01-13 05:02:10,R_DwcShYJxUUDRSpP,,,,,35.487396240234375,-97.57399749755859375,anonymous,EN,1,2,57,5,2,3,4,3,4,4,4,2,3,5,3,3,4,4,4,2,3,2,4,4,4,4,2,3,4,3,3,4,4,4,5,4,4,3,2,2,3,4,4,4,1,3,2,4,3.323,86.951,99.349,65,1,31.784,33.016,34.311,2,1,18.143,18.905,19.838,2,5,2,43.023,43.023,45.305,1,1,22.454,22.948,24.888,2,2,12.751,12.751,13.729,1,2,12.42,12.42,13.794,1,1,14.785,17.155,29.515,3,85247069
2019-01-13 04:56:25,2019-01-13 05:02:46,0,45.116.233.60,100,380,1,2019-01-13 05:02:46,R_29bPfKUdZxXX7l4,,,,,24.9055938720703125,67.0821990966796875,anonymous,EN,1,1,44,6,2,1,5,4,4,5,5,1,4,5,4,3,4,2,3,4,5,4,3,4,5,4,4,5,3,4,5,4,3,4,5,4,4,3,4,3,5,5,4,5,5,4,3,4,2.519,62.494,64.068,50,2,36.643,36.643,47.622,1,2,78.725,79.965,80.775,2,6,1,39.082,39.082,40.242,1,2,37.419,37.419,38.094,1,2,9.369,11.439,16.83,2,2,21.417,24.065,25.647,3,1,22.063,23.046,23.46,2,99537802
2019-01-13 04:56:12,2019-01-13 05:03:40,0,75.138.15.239,100,447,1,2019-01-13 05:03:40,R_2yftFl7D9Fmiiie,,,,,34.3448944091796875,-86.27519989013671875,anonymous,EN,1,1,36,3,2,4,2,4,5,4,2,4,1,5,1,4,2,5,5,2,2,5,5,5,4,2,4,1,5,2,4,2,5,5,4,2,2,1,4,2,4,2,5,5,1,3,4,5,2.009,120.455,121.443,44,2,63.313,65.201,66.52,2,1,14.371,24.483,30.025,2,3,2,102.679,102.679,105.566,1,2,13.867,13.867,15.181,1,1,7.371,7.371,8.737,1,1,10.798,10.798,12.222,1,1,15.519,15.519,17.509,1,98568577
2019-01-13 04:58:40,2019-01-13 05:03:44,0,67.211.155.18,100,303,1,2019-01-13 05:03:44,R_tVW66bBkfwvk2yd,,,,,37.35150146484375,-79.9051971435546875,anonymous,EN,1,1,43,6,3,4,4,2,5,4,4,4,3,5,2,1,4,2,4,3,4,2,4,4,5,5,4,4,2,2,3,2,3,4,4,4,4,4,2,2,3,3,2,3,1,4,3,3,4.535,94.682,95.54,100,1,41.6,42.704,43.488,3,1,20.178,21.421,22.095,3,3,1,11.355,34.267,35.061,4,1,7.921,13.469,14.305,4,2,8.636,9.551,10.165,3,2,18.97,19.696,20.398,3,1,18.582,19.424,19.801,3,56974910
